,,,,
시도,시군구,사고건수(건),사망자수(명),부상자수(명)
전국,합계,"209,654","3,081","306,194"
서울,합계,"35,227",219,"47,513"
서울,종로구,903,5,"1,224"
서울,중구,955,6,"1,248"
서울,용산구,890,12,"1,178"
서울,성동구,"1,119",9,"1,481"
서울,동대문구,"1,448",10,"1,845"
서울,성북구,"1,275",7,"1,622"
서울,도봉구,741,7,990
서울,은평구,953,14,"1,415"
서울,서대문구,928,6,"1,256"
서울,마포구,"1,272",13,"1,754"
서울,강서구,"1,575",17,"2,131"
서울,구로구,"1,325",10,"1,810"
서울,영등포구,"2,208",7,"3,102"
서울,동작구,"1,307",10,"1,819"
서울,관악구,"1,444",13,"1,819"
서울,강남구,"3,752",17,"5,189"
서울,강동구,"1,268",7,"1,600"
서울,송파구,"2,595",11,"3,509"
서울,서초구,"2,250",9,"3,075"
서울,양천구,"1,344",7,"1,829"
서울,중랑구,"1,447",4,"1,952"
서울,노원구,"1,462",5,"2,016"
서울,광진구,869,4,"1,145"
서울,강북구,"1,087",3,"1,420"
서울,금천구,810,6,"1,084"
부산,합계,"11,913",100,"16,347"
부산,중구,284,0,360
부산,서구,488,4,670
부산,동구,495,4,753
부산,영도구,332,4,441
부산,진구,"1,544",8,"2,178"
부산,동래구,993,3,"1,275"
부산,남구,762,6,"1,023"
부산,북구,694,11,922
부산,해운대구,914,9,"1,231"
부산,사하구,969,5,"1,324"
부산,금정구,819,4,"1,199"
부산,강서구,729,10,978
부산,연제구,744,8,977
부산,수영구,666,5,875
부산,사상구,921,11,"1,226"
부산,기장군,559,8,915
경기,합계,"52,391",612,"77,679"
경기,수원시,"4,480",29,"6,459"
경기,성남시,"3,640",31,"5,204"
경기,의정부시,"1,695",13,"2,479"
경기,안양시,"1,337",9,"1,958"
경기,부천시,"3,364",23,"4,716"
경기,안산시,"3,931",35,"5,753"
경기,평택시,"3,190",41,"4,819"
경기,광명시,964,4,"1,377"
경기,구리시,758,6,"1,097"
경기,양주시,"1,027",14,"1,520"
경기,여주시,507,16,859
경기,화성시,"2,959",45,"4,375"
경기,시흥시,"2,293",26,"3,497"
경기,파주시,"1,475",34,"1,997"
경기,고양시,"3,586",37,"5,112"
경기,광주시,"1,930",27,"2,924"
경기,연천군,203,5,316
경기,포천시,829,26,"1,347"
경기,가평군,364,5,595
경기,양평군,553,9,920
경기,이천시,"1,106",25,"1,708"
경기,용인시,"3,262",35,"5,066"
경기,안성시,"1,075",13,"1,779"
경기,김포시,"1,687",29,"2,632"
경기,동두천시,329,4,456
경기,과천시,187,6,290
경기,군포시,709,9,"1,043"
경기,남양주시,"2,255",32,"3,419"
경기,오산시,"1,090",6,"1,559"
경기,의왕시,414,5,615
경기,하남시,"1,192",13,"1,788"
강원,합계,"7,039",133,"10,779"
강원,춘천시,"1,380",23,"2,076"
강원,원주시,"1,830",23,"2,788"
강원,동해시,296,4,419
강원,강릉시,848,18,"1,221"
강원,속초시,446,1,699
강원,태백시,170,1,270
